MK	treat	soil	delta	atpercent
5	RC	L	16288.528	5.978866
6	RC	L	16949.188	6.193191
7	RC	L	16231.072	5.960181
9	C	L	17245.131	6.288882
10	C	L	17130.567	6.251862
11	C	L	17222.789	6.281665
21	RC	S	18692.943	6.754219
23	RC	S	17944.758	6.514326
24	RC	S	19012.59	6.856334
25	C	S	18173.908	6.58793
26	C	S	18526.425	6.700934
27	C	S	18141.079	6.577392
